date,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirdegree,winddir16point,weatherCode,weatherIconUrl,weatherDesc,precipMM,humidity,visibilityKm,pressureMB,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,,,
11/01/2020,24,11,53,20,33,229,SW,299,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0010_heavy_rain_showers.png,Moderate rain at times,5.7,0.2,92,6,3,1014,30,85,10,49,8,47,6,43,33,52,6,"43
"
12/01/2020,24,7,45,10,16,245,WSW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,5.7,0.2,86,9,5,1015,30,50,6,43,4,39,3,37,18,29,3,"37
"
13/01/2020,24,9,48,21,35,228,SW,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,9.2,0.4,79,8,5,995,30,72,6,43,3,37,1,35,35,57,1,"35
"
14/01/2020,24,6,42,12,19,253,WSW,296,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light rain,4.1,0.2,84,9,5,987,30,76,5,40,2,36,1,33,20,32,1,"33
"
15/01/2020,24,7,45,14,23,232,SW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.1,0,76,10,6,1000,30,41,5,41,1,34,1,33,26,41,1,"33
"
16/01/2020,24,10,50,19,31,218,SW,389,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0024_thunderstorms.png,Moderate or heavy rain with thunder,5,0.2,85,9,5,999,30,84,8,47,6,43,4,40,31,50,4,"40
"
17/01/2020,24,6,43,8,13,282,WNW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,1.3,0.1,84,10,6,1012,30,57,4,38,1,34,1,33,14,23,1,"33
"
18/01/2020,24,7,44,5,8,61,ENE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,85,10,6,1029,31,12,3,37,1,33,1,34,9,14,1,"34
"
19/01/2020,24,8,46,5,8,173,S,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,82,10,6,1044,31,9,3,38,0,33,2,35,9,14,2,"35
"
20/01/2020,24,8,46,6,10,233,SW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,89,9,5,1047,31,8,4,39,2,36,2,35,12,19,2,"35
"
21/01/2020,24,8,46,4,6,260,W,143,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0006_mist.png,Mist,0,0,92,8,4,1043,31,62,5,41,4,38,4,38,7,11,4,"38
"
22/01/2020,24,9,49,4,7,20,NNE,143,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0006_mist.png,Mist,0,0,95,4,2,1039,31,92,7,45,6,43,6,43,7,12,6,"43
"
23/01/2020,24,10,49,3,5,28,NNE,143,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0006_mist.png,Mist,0,0,93,5,3,1032,31,68,8,46,7,44,7,45,5,9,7,"45
"
24/01/2020,24,9,48,4,6,245,WSW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0,0,90,9,5,1024,31,89,7,45,6,42,6,43,6,9,6,"43
"
25/01/2020,24,9,47,11,18,192,SSW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.2,0,87,9,5,1013,30,82,8,46,5,42,5,40,17,28,5,"40
"
26/01/2020,24,7,44,14,22,237,WSW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,7.9,0.3,81,9,5,1004,30,77,6,43,3,38,3,37,22,36,3,"37
"
27/01/2020,24,5,41,11,18,238,WSW,338,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0020_cloudy_with_heavy_snow.png,Heavy snow,7.3,0.3,85,9,5,994,30,66,3,37,1,33,-1,30,19,31,-1,"30
"
28/01/2020,24,5,41,14,22,273,W,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,75,10,6,999,30,27,2,36,-2,29,-3,27,24,39,-3,"27
"
29/01/2020,24,9,48,10,17,234,SW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0,0,86,10,6,1008,30,48,5,42,3,38,2,36,19,31,2,"36
"
30/01/2020,24,13,55,11,18,247,WSW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0,0,92,10,6,1001,30,90,10,50,9,48,7,45,18,30,7,"45
"
31/01/2020,24,11,52,19,31,230,SW,296,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light rain,3.3,0.1,90,10,6,1000,30,88,11,51,9,48,7,45,29,47,7,"45
"
01/02/2020,24,9,48,14,23,256,WSW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,74,10,6,1003,30,49,7,45,3,37,3,38,24,38,3,"38
"
02/02/2020,24,10,50,16,26,239,WSW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,6.9,0.3,86,10,5,1003,30,65,9,47,6,43,5,41,27,43,5,"41
"
03/02/2020,24,7,45,11,17,277,W,119,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,0,0,76,10,6,1016,30,33,6,42,2,35,2,36,18,30,2,"36
"
04/02/2020,24,8,47,9,15,310,NW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,80,10,6,1030,31,34,5,41,2,35,2,35,17,27,2,"35
"
05/02/2020,24,9,47,6,9,186,S,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,87,10,6,1035,31,24,5,41,3,37,3,38,10,17,3,"38
"
06/02/2020,24,8,47,12,19,144,SE,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.1,0,84,10,6,1026,31,69,7,44,4,40,4,38,19,30,4,"38
"
07/02/2020,24,10,49,19,31,186,S,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,3.2,0.1,86,10,6,1007,30,76,8,47,5,42,5,40,30,48,5,"40
"
08/02/2020,24,9,48,21,34,215,SW,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,8.2,0.3,84,8,5,1005,30,79,7,44,4,39,2,36,34,55,2,"36
"
09/02/2020,24,12,54,27,43,254,WSW,302,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Moderate rain,19.4,0.8,86,8,4,987,30,93,10,49,7,45,5,42,42,68,5,"42
"
10/02/2020,24,5,42,20,32,273,W,335,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0012_heavy_snow_showers.png,Patchy heavy snow,6.6,0.3,76,8,5,1000,30,51,4,39,0,32,-2,29,33,54,-2,"29
"
11/02/2020,24,5,41,17,27,273,W,371,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0012_heavy_snow_showers.png,Moderate or heavy snow showers,0.6,0,67,10,5,1012,30,48,3,37,-3,27,-3,27,29,46,-3,"27
"
12/02/2020,24,7,44,13,21,213,SSW,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,4.1,0.2,80,10,5,1010,30,60,4,39,1,34,0,32,21,34,0,"32
"
13/02/2020,24,10,50,13,20,302,WNW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,18.2,0.7,86,9,5,996,30,55,6,43,4,39,3,37,21,33,3,"37
"
14/02/2020,24,10,50,16,25,236,WSW,302,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Moderate rain,3.3,0.1,85,10,5,1008,30,61,8,46,6,42,5,40,26,42,5,"40
"
15/02/2020,24,10,51,25,40,225,SW,302,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Moderate rain,19.6,0.8,89,9,5,991,30,95,9,48,7,45,5,41,39,63,5,"41
"
16/02/2020,24,6,42,23,37,247,WSW,362,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0013_sleet_showers.png,Light sleet showers,4.1,0.2,74,10,5,989,30,68,5,41,1,34,0,32,38,61,0,"32
"
17/02/2020,24,6,43,17,28,270,W,371,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0012_heavy_snow_showers.png,Moderate or heavy snow showers,1.9,0.1,78,9,5,1007,30,55,4,40,1,34,0,31,29,46,0,"31
"
18/02/2020,24,7,45,15,24,266,W,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.8,0,80,10,6,1018,31,53,5,41,2,35,0,33,26,41,0,"33
"
19/02/2020,24,9,49,17,28,221,SW,296,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light rain,2.3,0.1,90,10,6,1014,30,100,7,45,6,42,3,38,28,45,3,"38
"
20/02/2020,24,5,42,19,30,279,W,329,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0020_cloudy_with_heavy_snow.png,Patchy moderate snow,8.1,0.3,80,8,4,1010,30,70,5,42,2,36,1,33,29,47,1,"33
"
21/02/2020,24,10,50,24,38,232,SW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,2.5,0.1,82,10,5,1016,30,99,8,47,6,42,4,39,38,61,4,"39
"
22/02/2020,24,9,47,17,28,259,W,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.4,0,81,9,5,1016,30,77,8,47,5,41,4,40,28,45,4,"40
"
23/02/2020,24,10,50,13,22,259,W,266,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,6.2,0.2,86,8,4,1017,31,89,8,47,6,43,6,42,21,34,6,"42
"
24/02/2020,24,11,52,20,32,279,W,266,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,7.4,0.3,84,8,5,1008,30,81,9,48,6,43,5,41,31,50,5,"41
"
25/02/2020,24,4,40,17,27,275,W,395,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0012_heavy_snow_showers.png,Moderate or heavy snow with thunder,1.9,0.1,79,9,5,1005,30,62,3,37,-1,31,-3,27,27,43,-3,"27
"
26/02/2020,24,6,42,11,18,264,W,362,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0013_sleet_showers.png,Light sleet showers,1.3,0.1,78,8,5,1010,30,65,3,37,-1,31,-1,30,20,32,-1,"30
"
27/02/2020,24,7,45,8,14,290,WNW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.7,0,82,9,5,1007,30,61,4,39,1,34,1,33,13,22,1,"33
"
28/02/2020,24,11,52,19,30,220,SW,266,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,15,0.6,94,5,3,994,30,100,9,49,9,47,6,42,29,47,6,"42
"
29/02/2020,24,5,40,21,33,253,WSW,227,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0019_cloudy_with_light_snow.png,Blowing snow,7.4,0.3,74,8,5,982,29,69,3,38,-1,30,-2,28,31,49,-2,"28
"
01/03/2020,24,7,44,13,21,266,W,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,0.3,0,72,10,6,986,30,37,3,38,-1,29,-1,30,21,34,-1,"30
"
02/03/2020,24,6,43,12,20,274,W,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.5,0,75,10,6,992,30,35,3,37,-2,29,-2,29,21,33,-2,"29
"
03/03/2020,24,8,47,8,13,284,WNW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.2,0,75,10,6,1004,30,43,4,39,0,32,1,34,14,23,1,"34
"
04/03/2020,24,6,44,8,12,112,ESE,296,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light rain,1.8,0.1,94,8,4,1004,30,97,4,40,4,38,2,35,12,19,2,"35
"
05/03/2020,24,8,46,9,14,289,WNW,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,1.3,0.1,84,8,5,1001,30,40,4,39,1,34,0,33,14,23,0,"33
"
06/03/2020,24,8,47,14,22,301,WNW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.7,0,78,9,5,1008,30,65,5,41,1,34,1,33,23,36,1,"33
"
07/03/2020,24,10,50,20,32,216,SW,266,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,4,0.2,90,8,4,1008,30,94,9,48,7,45,5,41,31,50,5,"41
"
08/03/2020,24,9,47,16,26,263,W,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,2.4,0.1,82,10,6,1003,30,72,6,43,3,38,2,36,26,41,2,"36
"
09/03/2020,24,11,52,16,26,227,SW,296,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light rain,1.3,0.1,88,9,5,1010,30,78,7,45,6,42,3,38,27,44,3,"38
"
10/03/2020,24,12,54,17,27,258,WSW,266,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,0.5,0,87,9,5,1004,30,94,10,50,8,46,7,45,25,41,7,"45
"
11/03/2020,24,8,47,16,26,237,WSW,293,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Patchy light rain,1.3,0.1,85,10,5,1005,30,68,7,44,4,40,3,37,27,43,3,"37
"
12/03/2020,24,8,47,18,28,269,W,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.6,0,71,10,6,1010,30,50,5,40,0,31,0,32,28,45,0,"32
"
13/03/2020,24,8,47,10,17,191,SSW,305,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0010_heavy_rain_showers.png,Heavy rain at times,14.7,0.6,87,8,5,1014,30,66,6,42,4,38,2,36,18,29,2,"36
"
14/03/2020,24,10,51,14,23,219,SW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.5,0,93,9,5,1007,30,73,7,45,6,43,4,39,23,38,4,"39
"
15/03/2020,24,9,48,11,18,323,NW,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,1.1,0,81,8,4,1007,30,39,6,42,3,37,2,36,18,29,2,"36
"
16/03/2020,24,9,48,13,21,215,SW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0.9,0,85,10,6,1019,31,61,5,41,3,38,2,36,20,32,2,"36
"
17/03/2020,24,11,52,15,24,214,SW,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,1.8,0.1,95,8,4,1020,31,89,9,49,9,48,7,44,24,38,7,"44
"
18/03/2020,24,7,44,7,12,267,W,296,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light rain,5.4,0.2,89,8,4,1024,31,93,6,42,4,39,3,38,11,18,3,"38
"
19/03/2020,24,8,46,10,16,28,NNE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,75,10,6,1028,31,27,4,39,0,32,1,33,17,27,1,"33
"
20/03/2020,24,9,48,12,20,61,ENE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0,0,79,10,6,1030,31,38,4,39,1,33,0,32,19,31,0,"32
"
21/03/2020,24,7,44,17,27,102,ESE,266,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,1.1,0,83,7,4,1022,31,100,6,42,4,38,1,34,26,42,1,"34
"
22/03/2020,24,8,47,10,16,120,ESE,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.5,0,83,9,5,1025,31,82,6,43,3,38,3,37,16,25,3,"37
"
23/03/2020,24,9,49,6,9,169,S,119,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,0,0,87,9,5,1022,31,56,6,42,4,39,4,40,9,14,4,"40
"
24/03/2020,24,10,51,14,22,196,SSW,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,89,10,6,1019,31,41,8,46,6,43,5,40,21,33,5,"40
"
25/03/2020,24,13,55,8,12,151,SSE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0,0,87,9,5,1020,31,52,9,48,7,45,7,45,12,20,7,"45
"
26/03/2020,24,13,56,5,8,80,E,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,82,10,6,1024,31,5,8,46,5,40,7,44,7,12,7,"44
"
27/03/2020,24,12,54,7,11,68,ENE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,79,10,6,1026,31,4,6,44,3,37,4,40,11,18,4,"40
"
28/03/2020,24,11,51,12,20,52,NE,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.1,0,80,10,6,1033,31,35,6,43,3,37,3,37,19,31,3,"37
"
29/03/2020,24,8,46,14,23,52,NE,119,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,0,0,70,10,6,1044,31,35,4,39,-1,30,0,32,21,35,0,"32
"
30/03/2020,24,9,48,10,16,20,NNE,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.1,0,79,10,6,1041,31,41,4,39,0,33,0,33,16,26,0,"33
"
31/03/2020,24,10,49,10,16,42,NE,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.1,0,82,10,6,1035,31,49,6,42,3,37,2,36,15,25,2,"36
"
01/04/2020,24,8,47,8,12,181,S,119,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,0.1,0,75,10,6,1029,31,66,6,42,2,35,3,38,12,19,3,"38
"
02/04/2020,24,10,51,10,17,305,NW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.4,0,85,10,6,1021,31,70,7,45,5,40,4,40,16,25,4,"40
"
03/04/2020,24,11,52,6,9,242,WSW,263,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy light drizzle,1.1,0,86,7,4,1018,31,65,8,46,5,42,6,43,9,15,6,"43
"
04/04/2020,24,11,51,14,23,166,SSE,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,0.3,0,86,10,6,1012,30,71,8,47,6,43,5,41,21,33,5,"41
"
05/04/2020,24,11,52,21,35,182,S,296,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light rain,5,0.2,90,10,5,998,30,75,9,49,8,46,6,42,34,55,6,"42
"
06/04/2020,24,12,53,10,16,245,WSW,176,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain possible,1.3,0.1,78,10,6,1014,30,49,8,46,4,39,5,41,16,26,5,"41
"
07/04/2020,24,11,52,8,13,168,SSE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,83,9,5,1026,31,30,8,46,5,41,6,42,12,19,6,"42
"
08/04/2020,24,14,57,3,5,120,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,85,8,4,1025,31,14,9,48,7,44,9,48,5,8,9,"48
"
09/04/2020,24,14,57,6,10,112,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,89,6,3,1023,31,42,10,50,8,47,9,48,9,14,9,"48
"
10/04/2020,24,16,60,4,6,116,ESE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0,0,86,10,6,1021,31,69,12,53,9,49,11,52,6,9,11,"52
"
11/04/2020,24,18,65,5,7,289,WNW,353,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Light rain shower,1.3,0.1,86,7,4,1023,31,56,14,56,10,51,13,55,8,12,13,"55
"
12/04/2020,24,8,47,9,14,112,ESE,308,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Heavy rain,35.8,1.4,91,7,4,1013,30,95,7,44,7,44,5,40,14,23,5,"40
"
13/04/2020,24,11,51,14,23,74,ENE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,2.9,0.1,83,10,6,1025,31,46,8,47,5,41,5,41,21,35,5,"41
"
14/04/2020,24,10,50,7,11,116,ESE,119,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0003_white_cloud.png,Cloudy,0,0,82,10,6,1028,31,29,6,43,3,37,4,39,10,17,4,"39
"
15/04/2020,24,12,53,8,12,92,E,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0,0,82,10,6,1021,31,1,6,43,3,38,4,39,11,18,4,"39
"
16/04/2020,24,13,55,10,16,74,ENE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0,0,80,10,6,1014,30,54,8,47,5,41,6,42,16,26,6,"42
"
17/04/2020,24,12,53,10,16,73,ENE,302,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0018_cloudy_with_heavy_rain.png,Moderate rain,10.3,0.4,93,7,4,1012,30,87,9,48,8,46,7,44,16,25,7,"44
"
18/04/2020,24,9,49,12,19,84,E,266,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,2.7,0.1,96,9,5,1014,30,100,9,48,8,47,6,43,17,27,6,"43
"
19/04/2020,24,11,51,11,17,111,ESE,266,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light drizzle,0.7,0,95,9,5,1018,31,98,9,49,9,48,7,45,16,26,7,"45
"
20/04/2020,24,13,55,10,16,70,ENE,122,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast,0,0,83,10,6,1018,31,48,9,48,6,43,7,44,16,25,7,"44
"
